SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,True Color,Volatile Acids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-11-22,92,28.9,,4290,,733,,1830,,,,,,,,,,,1000,,8,,45.3,1.93,,593,460,296,548,,6.12,6.12
2025-11-23,98,26.2,,3000,,753,,1020,,,,,,,,,,,1000,,10,,37.1,1.37,,511,760,173,500,,6.09,6.09
2025-11-24,99,23.4,12/5/2025 14:06,4410,<0.0100,789,<0.0020,2350,<0.0050,<0.0100,0.0606,<0.0060,<0.00020,EPA-245.1,0.018,0.0263,,,1000,<0.0100,9,Waypoint Analytical LLC.,56.8,1.99,,427,1310,433,422,0.151,6.73,6.73
2025-11-25,92,19.5,,2870,,524,,1288,,,,,,,,,,,1000,,8,,42.6,1.81,,470,1220,621,434,,6.67,6.67
2025-11-26,82,33.9,,540,,548,,1226,,,,,,,,,,,1000,,18,,40.8,1.57,,699,395,584,576,,7.37,7.37
2025-11-27,97,40.4,,8380,,633,,3430,,,,,,,,,,,1000,,20,,46.7,3.63,,662,1960,381,644,,6.87,6.87
2025-11-28,86,33.7,,4540,,658,,2580,,,,,,,,,,,1000,,23,,43.9,2.11,,852,210,596,735,,7.16,7.16
2025-11-29,84,30.9,,3180,,471,,1450,,,,,,,,,,,1000,,5,,41.9,1.04,,481,1250,336,406,,6.09,6.09
2025-11-30,80,22.2,,3340,,626,,1868,,,,,,,,,,,1000,,6,,38.1,13.47,,264,1020,318,211,,6.51,5.89
2025-12-01,93,,,3070,,688,,1614,,,,,,,,,13.3,,1000,,9,,40.7,2.97,74.4,505,1040,563,468,,6.54,6.54
2025-12-02,93,22.7,,3910,,1296,,2476,,,,,,,,,,,1000,,18,,27.4,0.18,,1133,400,469,1054,,6.78,6.78
2025-12-03,93,34.4,,5600,,1281,,3310,,,,,,,,,,,1000,,26 ,,9.66,14.10,,2673,1640,918,2481,,6.50,6.5
2025-12-04,97,26.3,,4510,,694,,2380,,,,,,,,,,,1000,,13 ,,28,4.22,,541,740,422,527,,6.70,6.70
2025-12-05,100,31.1,,4630,,641,,2145,,,,,,,,,,,1000,,40,,28.8,0.07,,727,1120,334,726,,6.35,6.35
2025-12-06,93,31.8,,3580,,442,,1546,,,,,,,,,,,1000,,16,,49,3.14,,541,680,339,502,,6.27,6.27
2025-12-07,93,30.3,,4380,,595,,1510,,,,,,,,,,,1000,,19,,33.5,2.80,,608,600,342,566,,6.13,6.13
2025-12-08,97,39.6,,5650,,718,,1620,,,,,,,,,,,1000,,16,,39.1,1.96,,714,810,318,695,,6.40,6.40
2025-12-09,95,33.3,,5260,,812,,1700,,,,,,,,,,,1000,,32,,43.1,2.92,,749,1030,345,709,,6.17,6.17
2025-12-10,93,18.8,,5200,,1000,,2040,,,,,,,,,,,1000,,27,,54.6,0.76,,856,990,396,795,,6.63,6.63
2025-12-11,82,34.6,12/12/2025 15:29,4880,<0.0100,732,<0.0020,1680,0.412,0.0234,0.127,0.106,0.00021,EPA-245.1,0.0787,0.307,,,1000,<0.0100,27,Waypoint Analytical LLC.,59,0.53,,665,1030,393,548,45,6.56,6.56
2025-12-12,81,32.9,,2810,,665,,1168,,,,,,,,,,,1000,,25,,51.4,3.51,,598,1040,361,483,,6.35,6.35
2025-12-13,90,23.2,,3020,,594,,1420,,,,,,,,,,,1000,,18,,46.6,3.89,,436,1140,431,393,,6.00,6.00
2025-12-14,88,21,,3800,,540,,1460,,,,,,,,,,,1000,,14,,46.3,1.70,,446,560,322,392,,6.02,6.02
2025-12-15,87,18.8,,1600,,409,,740,,,,,,,,,,,1000,,9,,38.9,4.19,,299,580,122,260,,7.17,6.30
2025-12-16,93,20.3,,7420,,602,,1660,,,,,,,,,,,1000,,14,,47.7,1.77,,395,780,315,366,,6.50,6.50
2025-12-17,89,33.0,,4880,,550,,1880,,,,,,,,,,,1000,,33,,42.6,4.72,,805,1080,1060,713,,6.50,6.50
2025-12-18,92,28.8,,3500,,744,,1470,,,,,,,,,,,1000,,17,,58.5,1.16,,647,1120,496,593,,6.94,6.94
2025-12-19,89,38.1,,2700,,573,,1120,,,,,,,,,,,1000,,13,,37.2,2.02,,518,1340,360,462,,6.13,6.13
2025-12-20,91,38.7,,1750,,444,,930,,,,,,,,,,,1000,,4,,38.3,0.18,,272,1230,490,248,,6.00,6.00
2025-12-21,86,,,5540,,526,,1740,,,,,,,,,,,1000,,23,,37.4,1.36,,477,540,463,410,,6.82,6.82
2025-12-22,96,27.5,,2070,,557,,950,,,,,,,,,,,1000,,11,,32.5,1.11,,317,860,133,305,,6.29,6.29
2025-12-23,92,37.4,,3150,,614,,970,,,,,,,,,,,1000,,15,,44,2.07,,919,2270,354,842,,6.19,6.19
2025-12-24,83,37.6,,1735,,556,,2900,,,,,,,,,,,1000,,10,,37.9,0.83,,594,1150,410,495,,6.21,6.21
2025-12-25,93,32.1,,4520,,560,,1800,,,,,,,,,,,1000,,13,,38.5,1.12,,445,630,274,412,,6.20,6.20
2025-12-26,93,39.9,,6640,,498,,2920,,,,,,,,,,,1000,,17,,46.4,0.36,,551,2660,289,511,,6.73,6.73
2025-12-27,92,21.5,,4180,,712,,1780,,,,,,,,,,,1000,,14,,35.8,2.63,,456,1940,286,418,,6.02,6.02
2025-12-28,96,21.3,,2880,,490,,1300,,,,,,,,,,,1000,,9,,33.2,4.14,,411,640,271,393,,6.17,6.17
2025-12-29,84,20,,2620,,414,,1220,,,,,,,,,,,1000,,20,,49.1,0.10,,488,440,372,409,,6.94,6.94
2025-12-30,94,17.6,,1840,,512,,900,,,,,,,,,,,1000,,12,,43.4,2.18,,299,280,308,280,,6.02,6.02
2025-12-31,84,24,,1530,,481,,1100,,,,,,,,,,,1000,,10,,61.7,2.26,,399,300,167,336,,6.08,6.08
2026-01-01,,52,,4120,,,,1500,,,,,,,,,,,1000,,20,,39.2,,,,340,175,,,,6.59
2026-01-02,,23.1,,2400,,,,1080,,,,,,,,,,,1000,,8,,42.9,,,,180,155,,,,6.26
2026-01-03,,20.8,,2220,,,,1080,,,,,,,,,,,1000,,7.5,,42,,,,440,70,,,,6.50
2026-01-04,,23,,1480,,,,948,,,,,,,,,,,1000,,8.5,,51.8,,,,390,106,,,,6.37
2026-01-05,,,,1620,,,,1270,,,,,,,,,,,1000,,6,,,,,,410,,,,,6.28
2026-01-06,,,,1475,,,,1156,,,,,,,,,,,1000,,5,,,,,,210,,,,,6.48
2026-01-07,,,,1555,,,,1056,,,,,,,,,,,1000,,8,,,,,,265,,,,,6.29
2026-01-08,,,,2055,,,,1282,,,,,,,,,,,1000,,4.5,,,,,,400,,,,,6.23
2026-01-09,,,,1900,,,,1265,,,,,,,,,,,1000,,18,,,,,,735,,,,,6.43
